HJD MAX+2400000;E;O-C;ADS;AAVSO;BAV;CDB;GEOS;KWS;ASASSN;type;source;observer;reference
13266.3500;-3726;-2.10;-2.10;;;;;;;vis;ADS;Luizet 1905b;AN 169, 401, 1905 (Sanford 1930)
13266.6500;-3726;-1.80;-1.80;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
13267.2800;-3726;-1.17;-1.17;;;;;;;vis;ADS;Sawyer 1897;Szabados 1980
13275.2000;-3725;-1.16;-1.16;-1.16;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
13630.6270;-3680;-1.86;-1.86;;;;;;;vis;ADS;Luizet 1905b;Szabados 1980
13654.2000;-3677;-2.03;-2.03;-2.03;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
13859.8000;-3651;-2.18;-2.18;-2.18;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
14136.8620;-3616;-2.10;-2.10;;;;;;;pg;ADS;pickering 1904;Szabados 1991
14152.6200;-3614;-2.17;-2.17;-2.17;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
14738.8000;-3540;-1.61;-1.61;-1.61;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
15039.4000;-3502;-1.74;-1.74;-1.74;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
15403.1000;-3456;-2.07;-2.07;-2.07;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
15759.5300;-3411;-1.76;-1.76;-1.76;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
15760.5000;-3411;-0.79;-0.79;-0.79;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
15767.0000;-3410;-2.20;-2.20;-2.20;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
16163.8000;-3360;-1.09;-1.09;-1.09;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
16495.9000;-3318;-1.37;-1.37;-1.37;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
16535.7100;-3313;-1.13;-1.13;-1.13;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
16859.8000;-3272;-1.51;-1.51;-1.51;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
17318.6750;-3214;-1.63;-1.63;;;;;;;pg;ADS;wendell 1913;Szabados 1991
17635.5600;-3174;-1.30;-1.30;;-1.30;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
17659.0220;-3171;-1.58;-1.58;;;;;;;pg;ADS;zeipel 1908;Szabados 1991
17944.3270;-3135;-1.17;-1.17;;;;;;;pg;ADS;van der bilt 1926b;Szabados 1991
17951.4900;-3134;-1.92;;-1.92;;;;;;vis;AAVSO;Van der Bilt;AAVSO this paper
18126.0000;-3112;-1.51;-1.51;;-1.51;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
18220.5600;-3100;-1.92;;-1.92;;;;;;vis;AAVSO;Van der Bilt;AAVSO this paper
18244.4600;-3097;-1.76;;-1.76;;;;;;vis;AAVSO;Van der Bilt;AAVSO this paper
18252.4600;-3096;-1.67;;-1.67;;;;;;vis;AAVSO;Van der Bilt;AAVSO this paper
18324.1260;-3087;-1.23;-1.23;;;;;;;pg;ADS;van der bilt 1926b;Szabados 1991
18355.3900;-3083;-1.62;;-1.62;;;;;;pg;AAVSO;VAJ;AAVSO this paper
18807.0140;-3026;-1.08;-1.08;;;;;;;pg;ADS;van der bilt 1926b;Szabados 1991
19029.0000;-2998;-0.68;-0.68;;;;;;;vis;ADS;van der bilt 1926b;Sanford 1930
19400.4000;-2951;-1.23;-1.23;;-1.23;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
19518.9400;-2936;-1.40;-1.40;;-1.40;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
19748.5810;-2907;-1.25;-1.25;;;;;;;pg;ADS;van der bilt 1926b;Szabados 1991
20073.2300;-2866;-1.07;-1.07;;-1.07;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
20073.2500;-2866;-1.05;-1.05;;;;;;;vis;ADS;Dziewulski 1924;Sanford 1930
20682.5700;-2789;-1.09;-1.09;;;;;;;vis;ADS;Robinson 1930;Sanford 1930
23421.2800;-2443;-0.55;-0.55;;-0.55;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
23476.4000;-2436;-0.83;-0.83;;-0.83;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
23484.8400;-2435;-0.30;-0.30;;-0.30;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
23880.3060;-2385;-0.52;-0.52;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
24980.1460;-2246;-0.70;-0.70;;;;;;;;ADS;carrasco 1932;Szabados 1991
25249.1600;-2212;-0.75;-0.75;;-0.75;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
25273.2860;-2209;-0.37;-0.37;;;;;;;vis;ADS;kukarkin;Kukarkin, 1962
25296.6480;-2206;-0.75;-0.75;;;;;;;pg;ADS;hellerich 1935;Szabados 1991
25304.5700;-2205;-0.74;-0.74;;-0.74;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
25305.0100;-2205;-0.30;-0.30;;-0.30;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
25328.7000;-2202;-0.35;-0.35;;-0.35;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
25716.2630;-2153;-0.56;-0.56;;;;;;;pg;ADS;zverev 1936;Szabados 1991
25985.3840;-2119;-0.51;-0.51;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
26025.1000;-2114;-0.36;-0.36;;-0.36;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
26057.3730;-2110;0.26;0.26;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
26373.2700;-2070;-0.40;-0.40;;-0.40;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
26421.2000;-2064;0.05;0.05;;0.05;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
26578.9910;-2044;-0.44;-0.44;;;;;;;pg;ADS;zverev 1936;Szabados 1991
26666.1490;-2033;-0.33;-0.33;;;;;;;pg;ADS;Kukarkin 1940;Szabados 1991
26895.4290;-2004;-0.55;-0.55;;;;;;;pg;ADS;kox 1935;Szabados 1991
27030.0960;-1987;-0.42;-0.42;;;;;;;un.;ADS;florya&kukarkina 1953;Szabados 1991
27061.7100;-1983;-0.46;-0.46;;-0.46;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
27157.0000;-1971;-0.13;-0.13;;-0.13;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
27450.3130;-1934;0.37;0.37;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
27592.1100;-1916;-0.28;-0.28;;;;;;;pg;ADS;Krebs 1940;AN 271 23
27806.0840;-1889;0.02;0.02;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
28106.9000;-1851;0.11;0.11;;0.11;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
29364.7010;-1692;-0.38;-0.38;;;;;;;pe;ADS;koshkina 1963;Szabados 1991
29729.1000;-1646;-0.01;-0.01;;-0.01;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
30259.6000;-1579;0.27;0.27;;0.27;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
30789.4000;-1512;-0.16;-0.16;;-0.16;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
31470.1000;-1426;-0.04;-0.04;;-0.04;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
33353.5500;-1188;-0.07;-0.07;;;;;;;un.;ADS;un.;Erleksova 1982
33749.6300;-1138;0.32;0.32;;0.32;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
34326.9100;-1065;-0.11;-0.11;;;;;;;un.;ADS;un.;Erleksova 1982
34746.3200;-1012;-0.13;-0.13;;-0.13;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
35023.6800;-977;0.25;0.25;;0.25;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
35165.9090;-959;0.03;0.03;;;;;;;pe;ADS;irwin 1961;Szabados 1991
35166.2970;-959;0.42;;0.42;;;;;;V;AAVSO;Mitchell;AAVSO this paper
35561.7810;-909;0.22;0.22;;;;;;;pe;ADS;nikulina 1959;Szabados 1991
35561.8800;-909;0.31;0.31;;0.31;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
35569.3630;-908;-0.12;-0.12;;;;;;;V;ADS;walraven 1958;Szabados 1991
35600.8100;-904;-0.32;-0.32;;;;;;;un.;ADS;un.;Erleksova 1982
35925.3000;-863;-0.30;-0.30;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
35926.3000;-863;0.70;0.70;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
36186.7290;-830;-0.03;-0.03;;;;;;;pe;ADS;latyshev 1969;Szabados 1991
36226.5300;-825;0.21;0.21;;0.21;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
36273.8800;-819;0.07;0.07;;0.07;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
36274.2450;-819;0.44;0.44;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
36289.3540;-817;-0.28;-0.28;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
36313.3200;-814;-0.05;-0.05;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
36638.3100;-773;0.47;0.47;;;;;;;vis;ADS;Kukarkin;Kukarkin, 1962
36811.9500;-751;0.01;0.01;;;;;;;un.;ADS;un.;Erleksova 1982
37270.9250;-693;-0.02;-0.02;;;;;;;V;ADS;Mitchell 1964;Szabados 1991
37927.8140;-610;0.03;0.03;;;;;;;V;ADS;fridel 1971;Szabados 1991
38315.3900;-561;-0.17;-0.17;;;;;;;un.;ADS;un.;Erleksova 1982
39043.6660;-469;0.04;0.04;;;;;;;pe;ADS;wisniewski 1968;Szabados 1991
39083.1500;-464;-0.05;-0.05;;;;;;;pe;ADS;takase 1969;Szabados 1991
39502.6150;-411;-0.01;-0.01;;;;;;;pe;ADS;wamstecker 1972;Szabados 1991
39613.5900;-397;0.17;0.17;;;;;;;un.;ADS;un.;Erleksova 1982
39787.5630;-375;0.04;0.04;;;;;;;pe;ADS;szabados1980;Szabados 1991
40634.3900;-268;0.09;0.09;;;;;;;un.;ADS;un.;Erleksova 1982
40871.9580;-238;0.25;0.25;;0.25;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
40903.4210;-234;0.05;0.05;;;;;;;V;ADS;feltz 1980;Szabados 1991
40927.1500;-231;0.04;0.04;;;;;;;pe;ADS;pel 1976;Szabados 1991
40927.1600;-231;0.05;0.05;;0.05;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
